tweet,weight,duration,date
COVID,25948,15,20-05-01
COVID,53475,150,20-05-01
COVID,13847,165,20-05-04
Natural disaster in Mexico ,-1,150,20-05-05
Anti racism (Black Lives Matter),22924,150,20-05-05
Anti racism (Black Lives Matter),88329,525,20-05-06
Anti racism (Black Lives Matter),50680,375,20-05-06
Anti racism (Black Lives Matter),125514,510,20-05-07
Natural disaster in Mexico ,20760,210,20-05-09
Natural disaster in Mexico ,-1,255,20-05-11
Natural disaster in Mexico ,-1,45,20-05-11
Eurovision,11586,165,20-05-11
COVID,-1,60,20-05-12
Eurovision,39168,225,20-05-12
Eurovision,39648,90,20-05-13
Israeli–Palestinian conflict,51244,30,20-05-15
Football,107034,420,20-05-16
Eurovision,241554,315,20-05-16
Eurovision,249421,150,20-05-17
LGBTI rights,57805,660,20-05-17
COVID,24037,300,20-05-17
LGBTI rights,66201,105,20-05-18
COVID,41747,120,20-05-18
COVID,112446,435,20-05-19
Natural disaster in Mexico ,-1,30,20-05-21
Natural disaster in Mexico ,14786,45,20-05-22
Natural disaster in Mexico ,18624,225,20-05-22
Natural disaster in Mexico ,-1,15,20-05-22
Natural disaster in Mexico ,-1,45,20-05-23
Anti racism (Black Lives Matter),51074,255,20-05-26
Anti racism (Black Lives Matter),34475,165,20-05-26
Anti racism (Black Lives Matter),177548,375,20-05-26
Anti racism (Black Lives Matter),96479,285,20-05-26
Anti racism (Black Lives Matter),518846,600,20-05-27
Anti racism (Black Lives Matter),93150,75,20-05-27
Anti racism (Black Lives Matter),98295,330,20-05-27
Anti racism (Black Lives Matter),247754,450,20-05-27
Space,148678,180,20-05-27
Space,18741,60,20-05-27
Space,159963,165,20-05-28
Anti racism (Black Lives Matter),2201954,225,20-05-28
Antifa movement,63379,105,20-05-28
Natural disaster in Mexico ,37349,375,20-05-29
Space,-1,75,20-05-30
Space,411559,210,20-05-30
Space,477977,180,20-05-31
Space,49369,30,20-05-31
LGBTI rights,-1,90,20-05-31
Antifa movement,187824,45,20-05-31
LGBTI rights,-1,45,20-05-31
LGBTI rights,116818,675,20-06-01
Antifa movement,79874,630,20-06-01
Ebola,230565,390,20-06-01
Ebola,247664,45,20-06-02
Anti racism (Black Lives Matter),1673569,1050,20-06-02
Football,13846,375,20-06-03
Natural disaster in Mexico ,63668,375,20-06-04
Space,-1,60,20-06-04
Anti racism (Black Lives Matter),239093,720,20-06-06
Natural disaster in Mexico ,12426,120,20-06-07
Natural disaster in Mexico ,15021,150,20-06-07
Hong Kong Protests,23180,330,20-06-08
Trump,63856,570,20-06-08
Trump,65245,30,20-06-09
Natural disaster in Mexico ,-1,210,20-06-11
Space,-1,30,20-06-12
Space,41095,615,20-06-13
LGBTI rights,39398,165,20-06-13
Natural disaster in Mexico ,15409,105,20-06-14
COVID,48740,345,20-06-15
Sino-Indian border conflict,124717,345,20-06-16
Sino-Indian border conflict,115296,105,20-06-16
