21/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/02/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/02/2020;USA;politics & economy;Stock market crush;The Dow Jones Industrial Average (DIJA) plunges by 1,190.95 points, or 4.4%, to close at 25,766.64, its largest one-day points decline at the time. This follows several days of large falls, marking the worst week for the index since 2008, triggered by fears of the spreading COVID-19 coronavirus.;;;;;;;;;;;;;;;;;;;;;;;
28/02/2020;Global;violence & war;Syria civil war;NATO;"#syriancivilwar
#syria
#war
#syrianwar
#refugees
#basharalassad
#aleppo
#military
#dictator#bombs
#syrian
#bashar
#dictatorship
#aleppoprovince
#shelling
#maysun
#maysunphoto
#stringer
#bhfyp";;;;;;;;;;;;;;;;;;;;;;
29/02/2020;Luxembourg;mobility&borders;Luxembourg public transport;Luxembourg becomes the first country in the world to make all public transport in the country (buses, trams, and trains) free to use;;;;;;;;;;;;;;;;;;;;;;;
29/02/2020;Qatar;violence & war;Afghanistan war;A conditional peace agreement is signed between the United States and the Taliban in Doha, Qatar.[41] The U.S. begins gradually withdrawing troops from Afghanistan on March 10.;;;;;;;;;;;;;;;;;;;;;;;
01/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/03/2020;Netherlands;violence & war;Afghanistan War;The International Criminal Court authorizes the Afghanistan War Crimes inquiry to proceed, allowing for the first time for U.S. citizens to be investigated.;;;;;;;;;;;;;;;;;;;;;;;
06/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/03/2020;Italy;mobility&borders;COVID;Italy places 16 million people in quarantine, more than a quarter of its population, in a bid to stop the spread of COVID-19;;;;;;;;;;;;;;;;;;;;;;;
09/03/2020;Italy;mobility&borders;COVID;The quarantine is expanded to cover the entire country, becoming the first country to apply this measure nationwide.;;;;;;;;;;;;;;;;;;;;;;;
10/03/2020;Global;politics & economy;COVID;International share prices fall sharply in response to a Russo-Saudi oil price war and the impact of COVID-19. The Dow Jones Industrial Average (DJIA) plunges more than 2,000 points, the largest fall in its history up to that point.[46] Oil prices also plunge by as much as 30% in early trading, the biggest fall since 1991.;;;;;;;;;;;;;;;;;;;;;;;
11/03/2020;Global;health;COVID;The World Health Organization declares the COVID-19 outbreak a pandemic.;;;;;;;;;;;;;;;;;;;;;;;
12/03/2020;USA;health;COVID;USA bans to travel to the Schengen Area;;;;;;;;;;;;;;;;;;;;;;;
12/03/2020;Global;politics & economy;COVID;Global stock markets crash due to continued concerns over COVID-19 and the U.S. travel ban on the Schengen Area. The Dow Jones Industrial Average goes into free fall, closing at over −2,300 points, the worst losses for the index since 1987.;;;;;;;;;;;;;;;;;;;;;;;
13/03/2020;Nepal;mobility&borders;COVID;The government of Nepal announces that Mount Everest will be closed to climbers and the public for the rest of the season due to concerns from the COVID-19 pandemic in Asia.;;;;;;;;;;;;;;;;;;;;;;;
14/03/2020;Spain;mobility&borders;COVID;Spain goes into lockdown;;;;;;;;;;;;;;;;;;;;;;;
15/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/03/2020;Global;politics & economy;COVID;The Dow Jones Industrial Average falls by 2,997.10, the single largest point drop in history and the second-largest percentage drop ever at 12.93 percent, an even greater crash than Black Monday (1929). This follows the U.S. Federal Reserve announcing that it will cut its target interest rate to 0–0.25%.;;;;;;;;;;;;;;;;;;;;;;;
17/03/2020;Global;culture;COVID;The Euro 2020 and 2020 Copa América association football tournaments are postponed until the summer of 2021 by UEFA and CONMEBOL respectively.;"#eurocup
#EURO2020
#NationsLeague
#EuropeanQualifiers
#copaamerica
#conmebol
#copaAmérica
#uefa";;;;;;;;;;;;;;;;;;;;;;
17/03/2020;Europe;mobility&borders;COVID;European leaders close the EU's external and Schengen borders for at least 30 days in an effort to curb the COVID-19 pandemic.;;;;;;;;;;;;;;;;;;;;;;;
17/03/2020;Philippines;mobility&borders;COVID;The island of Luzon, the largest island of the Philippines, is placed under the enhanced community quarantine due to the coronavirus pandemic in the country as announced by President Rodrigo Duterte.;;;;;;;;;;;;;;;;;;;;;;;
18/03/2020;Europe;culture;COVID;The European Broadcasting Union announces that the Eurovision Song Contest 2020 will be cancelled due to COVID-19 in Europe, the first cancellation in the contest's 64-year history.;"#eurovision
#esc
#eurovisionsongcontest";;;;;;;;;;;;;;;;;;;;;;
19/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/03/2020;Global;health;COVID;The worldwide death toll from COVID-19 surpasses 10,000 as the total number of cases reaches a quarter of a million.;;;;;;;;;;;;;;;;;;;;;;;
