TOPIC;Event / subtopic;Hashtags;;;;;;;;;;;;;;;;;;;;;;
violence & war;Persian Gulf crisis;"#war
#tehran
#qasem
#qasemsoleimani
#freeiran
#qanon
#khamenei
#wwiii
#foreignpolicy
#irak
#soleimani
#AirlinesFlight752
#konarak
#jamaran";;;;;;;;;;;;;;;;;;;;;;
culture;Philippines conflict;#ABS-CBN;;;;;;;;;;;;;;;;;;;;;;
religion;Pope Francis livestreams cult;"#pope
#catholic
#vatican
#popefrancis
#jesus
#catholicchurch
#church
#catholicism
#christian
#vaticano
#papa
#roma
#god
#papafrancisco
#jj
#outerbanks
#obx
#johnb
#bible
#christianity
#faith
#vaticancity
#kiara
#jesuschrist
#pray
#religion
#papafrancesco
#history
#chasestokes
#madisonbailey
#netflix
#madelyncline
#romancatholic
#romancatholicchurch
#johnpaulii
#sarahcameron
#pogues
#christ
#saint
#popebenedictxvi
#outerbanksnetflix
#outerbanksedit
#josephratzinger
#catholics
#catolicos
#pape
#karolwojtyla
#benedictxvi";;;;;;;;;;;;;;;;;;;;;;
violence & war;Rwandan genocide;"#FélicienKabuga
#genocidio
#genocide
#Félicien
#Kabuga";;;;;;;;;;;;;;;;;;;;;;
social issues;Saudi Arabia bans criminal minors' executions;"#deathpenalty
#minors
#juvenilejustice";;;;;;;;;;;;;;;;;;;;;;
violence & war;Sino-Indian border conflict;"#GalwanValley
#Ladakh
#LAC
#LOC
#AksaiChina
#nathula";;;;;;;;;;;;;;;;;;;;;;
environment;Space;"#skylivetv
#solareclipse
#EclipseTotalDeSol
#toi1338b
#arrokoth
#nasa
#newhorizons
#BepiColombo
#BepiColomboEarthFlyby
#magnetar
#DragonX
#Endeavour
#spacex
#capecanaveral
#ufo
#luiselizondo
#ovni
#ovnis
#ufos
#alien
#aliens
#SpaceX
#spacexlaunch
#GPSIII
#spacex
#nasa
#space
#elonmusk
#science
#tesla
#falcon
#astronomy
#mars
#universe
#rocket
#astronaut
#iss
#moon
#earth
#cosmos
#astrophysics
#isro
#physics
#spacexlaunch
#galaxy
#blackhole
#spaceexploration
#starship
#esa
#spaceflight
#rocketlaunch
#stars
#spaceship""";;;;;;;;;;;;;;;;;;;;;;
violence & war;Syria civil war;"#syriancivilwar
#syria
#war
#syrianwar
#refugees
#basharalassad
#aleppo
#military
#dictator#bombs
#syrian
#bashar
#dictatorship
#aleppoprovince
#shelling
#maysun
#maysunphoto
#stringer
#AlKhatibTrial
#Justice4Syria
#SyrianLivesMatter
#CrimesAgainstHumanity
#WarCrimes
#محاكمات
#نظام
#نظام_التعذيب
#المخابرات""";;;;;;;;;;;;;;;;;;;;;;
culture;Tour de France;"#tourdefrance
#cycling
#tdf
#ciclismo
#bike
#giroditalia
#cyclinglife
#france
#velo
#cyclisme
#procycling
#cyclingphotos
#roadbike
#cyclist
#bikelife
#roadcycling
#bicycle
#letour
#mavic
#instacycling
#giro
#bici
#bikeporn
#girodeitalia
#vuelta
#cycle";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Trump;"#impeachment
#trump
#maga
#impeachtrump
#impeach
#donaldtrump
#democrats
#kag
#dumptrump
#republican
#vote
#wwg
#notmypresident
#trumpmemes
#makeamericagreatagain
#wga
#qanon
#conservative
#liarinchief";;;;;;;;;;;;;;;;;;;;;;
social issues;Turkey riots;"#TurkeyIsBombingKurds
#KurdishResistance
#TurkeyInvadesKurdistan";;;;;;;;;;;;;;;;;;;;;;
religion;USA-India international relations;#KashmirBleeds;;;;;;;;;;;;;;;;;;;;;;
environment;Volcano eruption in Philippines;"#taalvolcano
#taal
#luzon
#volcano";;;;;;;;;;;;;;;;;;;;;;
social issues;Women rights in Sudan;"#mutilation
#fgm
#nofgm
#EndFGM
#GenerationEquality
#16DaysOfActivism
#SFFGM";;;;;;;;;;;;;;;;;;;;;;
violence & war;Yemen civil war;"#houthi
#yemencrisis
#yemencivilwar
#yemenwar
#الانتقالي_يمثل_الجنوب";;;;;;;;;;;;;;;;;;;;;;
