date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-17 12:55:27,MataCabrera,,0,0,0,"Pasar de los fantasmas de la fe a los espectros de la razón no es más que ser cambiado de celda... -Fernando Pessoa-",,,,1229388894153527296,https://twitter.com/MataCabrera/status/1229388894153527296
2020-02-17 12:54:50,NuevoDiarioSDE,,0,0,1,"Un preso escapó de la comisaría y se realizan rastrillajes para recapturarlo El evadido, de apellido Zalazar, huyó esta madrugada y se ordenaron pericias en la dependencia policial, para determinar cómo logró salir de la celda y llegar a la calle http://www.nuevodiarioweb.com.ar/noticias/2020/02/17/231938-un-preso-escapo-de-la-comisaria-y-se-realizan-rastrillajes-para-recapturarlo …",,,,1229388737655791616,https://twitter.com/NuevoDiarioSDE/status/1229388737655791616
2020-02-17 12:49:22,JusticiaOrg,la_patilla,0,5,7,"Luego de varias horas desaparecido, esposa del general (R) Raúl Baduel confirma que este #PresoPolítico fue devuelto a la celda conocida como #LaTumba en la sede del Sebin de Plaza Venezuela. #InjusticiaMilitarVE #Venezuela.https://twitter.com/la_patilla/status/1229221211512721410 …",,,#PresoPolítico #LaTumba #InjusticiaMilitarVE #Venezuela,1229387360166666241,https://twitter.com/JusticiaOrg/status/1229387360166666241
2020-02-17 12:47:13,silvi_irigoyen,pensarnacional,0,0,0,"Y la cara de @nelsonalcastro muestra a las claras que perdió un tornillo. A compartir celda con la ""Dra Rímolo""",,@nelsonalcastro,,1229386819172782087,https://twitter.com/silvi_irigoyen/status/1229386819172782087
2020-02-17 12:46:24,EliasLavoz1,,0,0,0,"Cambiar de patio, obtener permisos, pasar lo que quieran hacia la celda etc, eso se hace cuando hay dinero de por medio; aquí en Colombia eso es “normal” quien tiene dinero hace lo que quiera por encima de lo que sea.",,,,1229386613899321347,https://twitter.com/EliasLavoz1/status/1229386613899321347
2020-02-17 12:46:14,comunico_te,virgilio_acuna,0,0,0,"Arranca oe que vas terminar con Ollanta en la misma celda Pronto",,,,1229386571297759232,https://twitter.com/comunico_te/status/1229386571297759232
2020-02-17 12:43:24,fernandoespzaf_,rafaruizr31,0,0,1,"Merece compartir celda con Oriol Junqueras",,,,1229385858756816897,https://twitter.com/fernandoespzaf_/status/1229385858756816897
2020-02-17 12:41:52,SantosTuto,,0,0,0,"La unidad investigativa del pasquín de ""El Tiempo"" tan diligente y eficaz para averiguar cómo vive Aída Merlano en una celda, en medio de una dictadura, pero tan ineficaz y lenta para decirnos cómo vive, Andrés Felipe Arias, preso en un gobierno democrático como el nuestro.",,,,1229385472704733184,https://twitter.com/SantosTuto/status/1229385472704733184
2020-02-17 12:39:20,alieltaliban,GermanSuarezBer,0,0,0,"Señores @boyacasietedias podrían uds mirar hacia el sitio de reclusión del corrupto condenado andrés felipe arias? O quizás tengas fotos de la celda del papá de cierto senador, preso en su momento",,@boyacasietedias,,1229384838337236993,https://twitter.com/alieltaliban/status/1229384838337236993
2020-02-17 12:37:09,ameslaria,,1,0,1,"ziega gazteleraz celda da edo ciega existitzen da? pentsatzen pasa nuen atzo rato bat",,,,1229384288879202304,https://twitter.com/ameslaria/status/1229384288879202304
2020-02-17 12:30:00,H2Chile2018,,0,12,13,"Experiencia alemana en red de estaciones de carga vehículos a H2 y tren eléctrico con celda combustible. De esto nos cuenta nuestro delegado zona sur Chile, Rodrigo Díaz. https://www.h2chile.cl/post/hidr%C3%B3geno-h2-chile-plantea-el-desaf%C3%ADo-de-articular-la-participaci%C3%B3n-de-actores-en-mercado-local … #H2iscoming #H2verdeCL #hydrogen #hidrogeno via @r_electricidad @RodrigoMasvalor",,@r_electricidad @RodrigoMasvalor,#H2iscoming #H2verdeCL #hydrogen #hidrogeno,1229382488247676929,https://twitter.com/H2Chile2018/status/1229382488247676929
2020-02-17 12:22:50,OscarSGmezF1,NoticiasCaracol,0,0,0,"La culpa es de la capacidad económica que se tenga, de lo contrario para una celda.",,,,1229380685347147776,https://twitter.com/OscarSGmezF1/status/1229380685347147776
2020-02-17 12:17:14,BibAndalucia,,0,0,2,"Hoy se cumplen 184 años del nacimiento de #Bécquer. En el monasterio de Veruela escribió sus famosas 'Cartas desde mi celda' (1864). En ellas se incluye el relato de las brujas de Trasmoz que, por cierto, sirvió de inspiración para un capítulo del @MdT_TVE #QueLeerpic.twitter.com/x9hjfplth4",,@MdT_TVE,#Bécquer #QueLeerpic,1229379273166925824,https://twitter.com/BibAndalucia/status/1229379273166925824
2020-02-17 12:06:21,Jmaa86760833,plomoparejo,0,0,0,"Lo que debieran hacer además de curar a esta buena mujer es encontrar a los culpables, darles una paliza superior a esta meterlos en una celda y tirar la llave a la mierda.",,,,1229376537348202496,https://twitter.com/Jmaa86760833/status/1229376537348202496
2020-02-17 12:00:02,botpoemas,,1,0,0,"si muestras la misma angustia que sustento, la soledad de idéntico linaje, la imperfecta voluntad de amor. Para reconocernos baste la oscura nostalgia socavándonos, baste nuestra olvidada condición de amantes, vocación de locura, celda, fuego. Maldigo desde ahora",,,,1229374948176732161,https://twitter.com/botpoemas/status/1229374948176732161
2020-02-17 11:59:42,Gheber17,ForcadellCarme,0,0,0,"Anda , tres dias 9 h al día , , igualdad para todos los presos , vuelve a tu celda de lujo y confort . pic.twitter.com/BV9MWn94uj",,,,1229374863296606209,https://twitter.com/Gheber17/status/1229374863296606209
2020-02-17 11:59:17,Cesaraupin,,0,0,1,"#EstudiarHumanidadesEs entrar en una celda, donde la.libertad de pensamiento se pudre De no tener un pensamiento colineal con la perspectiva del profesor, te conviertes en un hereje Pensar diferente se castiga de una manera implacable @WRadioColombia @jsanchezcristo",,@WRadioColombia @jsanchezcristo,#EstudiarHumanidadesEs,1229374758984278017,https://twitter.com/Cesaraupin/status/1229374758984278017
2020-02-17 11:58:35,AngelRo82328214,ElCaribeRD,0,0,0,"Nicole es cierto, es por eso que se esta construyendo una celda monumental para cuando lo condenemos..!! https://twitter.com/ElCaribeRD/status/1229211960853585922 …",,,,1229374581766533122,https://twitter.com/AngelRo82328214/status/1229374581766533122
2020-02-17 11:54:53,athanasiakille,Yaseni61,0,1,1,"Si la justicia funciona,Guaidó es candidato único a Tocorón y ganará de seguro su celda.",,,,1229373650849193984,https://twitter.com/athanasiakille/status/1229373650849193984
2020-02-17 11:54:41,ManelDHG,cayetanaAT,5,11,120,"Magnífico y justo. Ahora iría de maravilla que usted, Cayetana, ocupara su lugar en una celda y si es posible, también el resto de golfos que le acompañan en el PP, CDs y sobre todo VOX",,,,1229373597753454592,https://twitter.com/ManelDHG/status/1229373597753454592
2020-02-17 11:48:49,amedrano9am,amedrano9am,1,0,0,"Al resto los soltaron por el monte para distraer. Algunos presos al ver el percal se volvieron a la celda.",,,,1229372125326331906,https://twitter.com/amedrano9am/status/1229372125326331906
2020-02-17 11:48:15,agazoshell,,0,0,0,"""Sedición, rebelión Un hábito vestí El cual de vuestro paño fue cortado Al vestir ancho fue Mas apretado y estrecho cuando estuvo sobre mí"" Oriolaso de la Celda Justicia planea un nuevo tipo de sedición a la medida de Oriol Junqueras https://www.elmundo.es/espana/2020/02/17/5e498cfafc6c83d0378b46e8.html …",,,,1229371982631837696,https://twitter.com/agazoshell/status/1229371982631837696
2020-02-17 11:47:28,raulpl5,JCMR1966,0,0,1,"Te equivocaste, lo que va estar abierta, es la puerta de la celda,jajajajajajajajajaja",,,,1229371782571941892,https://twitter.com/raulpl5/status/1229371782571941892
2020-02-17 11:46:26,MiRefugio6,DolarToday,0,0,1,"Si estas cagau amigo Bernal, éstas asustado, coje consejo y entregaste a los americanos y que te asignaron la mejor celda en GUANTÁNAMO, pero lleva tu chinchorro, para que disfrutes de la belleza del mar Caribe, x el resto de tu vida.",,,,1229371523175272449,https://twitter.com/MiRefugio6/status/1229371523175272449
